Material,Calculator,eta_OER,U_L_OER,eta_CER_OCl*,U_L_CER_OCl*,eta_CER
CrO2,esen-oc25,2.597497069351261,3.827497069351261,0.15553961753845225,1.5135396175384523,0.15553961753845225
IrO2,esen-oc25,0.44678028773510725,1.6767802877351072,0.8350163555144694,2.1930163555144695,0.8350163555144694
MnO2,esen-oc25,1.2752471203728368,2.505247120372837,1.4258598542213439,2.783859854221344,1.4258598542213439
MoO2,esen-oc25,3.7331927288324374,4.963192728832437,0.35509385108947744,1.7130938510894775,0.35509385108947744
NbO2,esen-oc25,2.2405272359772375,3.4705272359772374,1.8243082904815675,3.1823082904815676,1.8243082904815675
PtO2,esen-oc25,2.00801422804594,3.23801422804594,1.8002909564971925,3.1582909564971926,1.8002909564971925
ReO2,esen-oc25,2.1388846273346593,3.3688846273346593,1.4387703990936278,2.796770399093628,1.4387703990936278
RhO2,esen-oc25,0.49929383009677863,1.7292938300967786,0.3361149883269696,1.6941149883269697,0.3361149883269696
RuO2,esen-oc25,1.0358496541901285,2.2658496541901285,0.9096089458465575,2.2676089458465576,0.9096089458465575
SnO2,esen-oc25,4.235594760477543,5.465594760477543,1.7628291988372804,3.1208291988372805,1.7628291988372804
TiO2,esen-oc25,1.5292506477236754,2.7592506477236753,1.7858981037139894,3.1438981037139895,1.7858981037139894
VO2,esen-oc25,1.9924269552155187,3.2224269552155187,0.8237534618377684,2.1817534618377685,0.8237534618377684
